Date,Open,High,Low,Close,Adj Close,Volume
12-Dec-16,226.4,226.96,225.76,226.25,195.84,"102,016,100"
09-Dec-16,225.41,226.53,225.37,226.51,196.07,"88,005,800"
08-Dec-16,224.57,225.7,224.26,225.15,194.89,"99,714,400"
07-Dec-16,221.52,224.67,221.38,224.6,194.41,"110,738,100"
06-Dec-16,221.22,221.74,220.66,221.7,191.9,"59,877,400"
05-Dec-16,220.65,221.4,220.42,221,191.3,"67,837,800"
02-Dec-16,219.67,220.25,219.26,219.68,190.16,"74,840,300"
01-Dec-16,220.73,220.73,219.15,219.57,190.06,"79,040,500"
30-Nov-16,221.63,221.82,220.31,220.38,190.76,"113,291,800"
29-Nov-16,220.52,221.44,220.17,220.91,191.22,"69,886,700"
28-Nov-16,221.16,221.48,220.36,220.48,190.85,"76,572,500"
25-Nov-16,221.1,221.56,221.01,221.52,191.75,"37,872,300"
23-Nov-16,219.98,220.76,219.75,220.7,191.04,"56,620,200"
22-Nov-16,220.51,220.79,219.73,220.58,190.93,"67,429,000"
21-Nov-16,219.17,220.18,219,220.15,190.56,"72,402,600"
18-Nov-16,219.07,219.27,218.29,218.5,189.13,"86,265,800"
17-Nov-16,218.05,219.06,217.92,218.99,189.56,"69,797,200"
16-Nov-16,217.56,218.14,217.42,217.87,188.59,"65,617,700"
15-Nov-16,217.04,218.28,216.8,218.28,188.94,"91,652,600"
14-Nov-16,217.03,217.27,215.72,216.59,187.48,"94,580,000"
11-Nov-16,216.08,216.7,215.32,216.42,187.33,"100,552,700"
10-Nov-16,217.3,218.31,215.22,216.92,187.77,"172,113,300"
09-Nov-16,212.37,217.1,212.34,216.38,187.3,"258,429,000"
08-Nov-16,212.69,214.77,212.38,214.11,185.33,"106,772,100"
07-Nov-16,208.55,213.19,208.55,213.15,184.5,"109,794,900"
04-Nov-16,208.91,209.89,208.38,208.55,180.52,"109,122,100"
03-Nov-16,209.99,210.24,208.46,208.78,180.72,"88,939,300"
02-Nov-16,210.65,211.1,209.23,209.74,181.55,"103,330,800"
01-Nov-16,212.93,212.99,209.6,211.01,182.65,"122,781,800"
31-Oct-16,212.93,213.19,212.36,212.55,183.98,"61,272,500"
28-Oct-16,213.14,213.93,211.71,212.54,183.98,"140,623,200"
27-Oct-16,214.58,214.62,213.08,213.17,184.52,"77,220,200"
26-Oct-16,213.21,214.42,212.93,213.74,185.01,"75,705,500"
25-Oct-16,214.68,214.98,213.98,214.17,185.39,"66,542,300"
24-Oct-16,215,215.32,214.48,214.89,186.01,"60,146,600"
21-Oct-16,213.88,214.08,212.76,213.98,185.22,"89,089,100"
20-Oct-16,213.87,214.53,213.11,213.88,185.13,"73,639,800"
19-Oct-16,214.02,214.64,213.6,214.28,185.48,"66,519,200"
18-Oct-16,214.24,214.31,213.27,213.71,184.99,"76,869,700"
17-Oct-16,213.09,213.39,212.17,212.38,183.84,"58,275,700"
14-Oct-16,214.15,214.69,213.03,213.12,184.48,"93,346,200"
13-Oct-16,212.16,213.59,211.21,213.01,184.38,"101,357,000"
12-Oct-16,213.59,214.32,213.01,213.71,184.99,"73,866,100"
11-Oct-16,215.66,215.74,212.58,213.43,184.75,"130,367,400"
10-Oct-16,216.16,216.7,215.99,216.16,187.11,"51,855,000"
07-Oct-16,216.1,216.3,214.19,215.04,186.14,"89,788,300"
06-Oct-16,215.37,216.04,214.74,215.78,186.78,"62,927,400"
05-Oct-16,215.41,216.13,215.33,215.63,186.65,"72,816,000"
04-Oct-16,215.91,216.17,213.99,214.68,185.83,"119,948,100"
03-Oct-16,215.82,216.04,215.04,215.78,186.78,"83,512,100"
30-Sep-16,215.65,217.12,215.36,216.3,187.23,"117,202,900"
29-Sep-16,216.4,216.87,214.04,214.68,185.83,"128,070,600"
28-Sep-16,215.83,216.82,214.71,216.64,187.52,"87,411,000"
27-Sep-16,214.05,215.68,213.62,215.57,186.6,"78,494,800"
